value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
25.9,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-29T23:00:00Z,2021-04-30T00:00:00+01:00,2021-04-30T00:00:00Z,2021-04-30T01:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-29T23:00:00Z,2021-04-30T00:00:00+01:00,2021-04-30T00:00:00Z,2021-04-30T01:00:00+01:00
22.9,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T00:00:00Z,2021-04-30T01:00:00+01:00,2021-04-30T01:00:00Z,2021-04-30T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T00:00:00Z,2021-04-30T01:00:00+01:00,2021-04-30T01:00:00Z,2021-04-30T02:00:00+01:00
33.7,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T01:00:00Z,2021-04-30T02:00:00+01:00,2021-04-30T02:00:00Z,2021-04-30T03:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T01:00:00Z,2021-04-30T02:00:00+01:00,2021-04-30T02:00:00Z,2021-04-30T03:00:00+01:00
35.1,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T02:00:00Z,2021-04-30T03:00:00+01:00,2021-04-30T03:00:00Z,2021-04-30T04:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T02:00:00Z,2021-04-30T03:00:00+01:00,2021-04-30T03:00:00Z,2021-04-30T04:00:00+01:00
34.8,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T03:00:00Z,2021-04-30T04:00:00+01:00,2021-04-30T04:00:00Z,2021-04-30T05:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T03:00:00Z,2021-04-30T04:00:00+01:00,2021-04-30T04:00:00Z,2021-04-30T05:00:00+01:00
47.5,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T04:00:00Z,2021-04-30T05:00:00+01:00,2021-04-30T05:00:00Z,2021-04-30T06:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T04:00:00Z,2021-04-30T05:00:00+01:00,2021-04-30T05:00:00Z,2021-04-30T06:00:00+01:00
70.1,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T05:00:00Z,2021-04-30T06:00:00+01:00,2021-04-30T06:00:00Z,2021-04-30T07:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T05:00:00Z,2021-04-30T06:00:00+01:00,2021-04-30T06:00:00Z,2021-04-30T07:00:00+01:00
60.6,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T06:00:00Z,2021-04-30T07:00:00+01:00,2021-04-30T07:00:00Z,2021-04-30T08:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T06:00:00Z,2021-04-30T07:00:00+01:00,2021-04-30T07:00:00Z,2021-04-30T08:00:00+01:00
53.0,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T07:00:00Z,2021-04-30T08:00:00+01:00,2021-04-30T08:00:00Z,2021-04-30T09:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T07:00:00Z,2021-04-30T08:00:00+01:00,2021-04-30T08:00:00Z,2021-04-30T09:00:00+01:00
33.4,,,False,5,no2,µg/m³,,raw,01:00:00,2021-04-30T08:00:00Z,2021-04-30T09:00:00+01:00,2021-04-30T09:00:00Z,2021-04-30T10:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2021-04-30T08:00:00Z,2021-04-30T09:00:00+01:00,2021-04-30T09:00:00Z,2021-04-30T10:00:00+01:00
